id,word,definition,identifier,lesson_1,lesson_2,lesson_3,lesson_4,audio,glossary_list
sinwit,sɨ́nwit,"speaking, talking, words, language ",Sahaptian-024,1,1,1,1,/objects/audio/Sahaptian-024.mp3,umatilla
spaytit,spáytit,"sprout, shoot, offspring, or child",Sahaptian-077,0,0,0,0,/objects/audio/Sahaptian-077.mp3,umatilla
sukwa,šúkʷa,"know, learn",Sahaptian-010,1,0,0,0,/objects/audio/Sahaptian-010.mp3,umatilla
sukwayata,šúkʷayat̓a,"want to know, want to learn",Sahaptian-150,1,0,0,0,/objects/audio/Sahaptian-150.mp3,umatilla
sulcas,súlcas,"soldier, warrior, veteran, army, military",Sahaptian-141,0,0,0,0,/objects/audio/Sahaptian-141.mp3,umatilla
suyapu,šuyápu,Caucasian/white person,Sahaptian-014,1,1,1,1,/objects/audio/Sahaptian-014.mp3,umatilla
suyapuwi,šuyápuwi,"to be like a whiteman, live the white way",Sahaptian-074,1,0,1,1,/objects/audio/Sahaptian-074.mp3,umatilla
taatpas,táatpas,"shirt, dress, clothing",Sahaptian-036,0,1,1,0,/objects/audio/Sahaptian-036.mp3,umatilla
taatpasi,táatpasi,to wear or have on (clothes),Sahaptian-135,0,0,0,0,/objects/audio/Sahaptian-135.mp3,umatilla
taatpasit,táatpasit,clothing,Sahaptian-133,0,0,0,0,/objects/audio/Sahaptian-133.mp3,umatilla
tamanwit,tamánwit,"the belief that all things of the earth were placed by the Creator for a purpose and that the Creator gave all things behaviors/ways that are unchangeable, and until time’s end, these laws/ways are to be kept; literally translates as, “law, legislation, government”",Sahaptian-037,0,1,1,1,/objects/audio/Sahaptian-037.mp3,umatilla
tanan,tanán,"(Indigenous) person, Indian",Sahaptian-025,1,1,1,1,/objects/audio/Sahaptian-025.mp3,umatilla
tanan-sinwit,tanán sɨ́nwit,Indian or Indigenouus language,Sahaptian-001,0,0,0,0,/objects/audio/Sahaptian-001.mp3,umatilla
tanan-tkwatat,tanán tkʷátat,Indian or Indigenous food,Sahaptian-088,0,1,0,1,/objects/audio/Sahaptian-088.mp3,umatilla
tananawit,tananáwit,the Indian or Indigenous way; also [tanánwit](#tananwit),Sahaptian-069,1,1,0,1,/objects/audio/Sahaptian-069.mp3,umatilla
tananma,tanánma,"(Indigenous) people, Indians",Sahaptian-004,1,1,1,1,/objects/audio/Sahaptian-004.mp3,umatilla
tananwit,tanánwit,the Indian or Indigenous way; also [tananáwit](#tananawit),Sahaptian-070,1,1,0,1,/objects/audio/Sahaptian-070.mp3,umatilla
tanins,tanínš,arrowhead,Sahaptian-038,0,1,1,0,/objects/audio/Sahaptian-038.mp3,umatilla
tawya,táwya,"dwell, stay, or live",Sahaptian-146,0,1,0,1,/objects/audio/Sahaptian-146.mp3,umatilla
tawyanaykt,táwyanaykt,"village, camp, dwelling; also [tawyanikáwas](#tawyanikawas)",Sahaptian-083,0,1,1,0,/objects/audio/Sahaptian-083.mp3,umatilla
tawyanikawas,tawyanikáwas,"village, camp, dwelling; also [táwyanaykt](#tawyanaykt)",Sahaptian-084,0,1,1,0,/objects/audio/Sahaptian-084.mp3,umatilla
tiicam,tiičám,"earth, ground, property, place",Sahaptian-123,1,0,0,1,/objects/audio/Sahaptian-123.mp3,umatilla
timani-tiicam,tímani tiičám,"Indian reservation, place reserved for indigenous descendants by the ancestors who negotiated the treaty with the United States Government",Sahaptian-054,0,0,1,1,/objects/audio/Sahaptian-054.mp3,umatilla
tiwi,tíwi,fight,Sahaptian-142,0,0,0,0,/objects/audio/Sahaptian-142.mp3,umatilla
tku,tk̓ú,"tule plants, scientific name: *Schoenoplectus acutus*",Sahaptian-026,0,1,0,0,/objects/audio/Sahaptian-026.mp3,umatilla
tkupa,tk̓úpa,"tule place, place where tules grow",Sahaptian-079,0,1,1,1,/objects/audio/Sahaptian-079.mp3,umatilla
tkuwi,tk̓úwi,get or gather tules,Sahaptian-162,0,1,0,0,/objects/audio/Sahaptian-162.mp3,umatilla
tkwata,tkʷáta,to eat,Sahaptian-086,0,0,1,1,/objects/audio/Sahaptian-086.mp3,umatilla
tkwatat,tkʷátat,food,Sahaptian-087,0,0,1,1,/objects/audio/Sahaptian-087.mp3,umatilla
tkwaynp,tkʷáynp,go hunting; also [wɨsaláyti](#wisalayti),Sahaptian-112,0,0,0,0,/objects/audio/Sahaptian-112.mp3,umatilla
tkwaynpla,tkʷaynpłá,"hunter, man",Sahaptian-111,0,0,0,0,/objects/audio/Sahaptian-111.mp3,umatilla
tmaanit,tmaanít,"picked plant foods, plant foods gathered/harvested by picking",Sahaptian-164,0,1,0,1,/objects/audio/Sahaptian-164.mp3,umatilla
tmayn,tmáyn,"respect, show respect",Sahaptian-009,1,0,0,0,/objects/audio/Sahaptian-009.mp3,umatilla
tmitkin,tmítk̓in,"visualize, imagine, think of something from the past",Sahaptian-006,1,0,0,0,/objects/audio/Sahaptian-006.mp3,umatilla
tmiyutpama-niit,tmiyutpamá níit,"Indian Agency; literally translates as, “building at place of planning, deciding, plan, decision, suggestion”",Sahaptian-125,0,0,1,0,/objects/audio/Sahaptian-125.mp3,umatilla
tutni,tútni,"flour, literally means ""pounded or ground up""",Sahaptian-040,0,1,1,0,/objects/audio/Sahaptian-040.mp3,umatilla
txtayma,tx̣táyma,"exchange, trade",Sahaptian-041,1,1,1,0,/objects/audio/Sahaptian-041.mp3,umatilla
uyit,úyit,"beginning, first",Sahaptian-005,1,0,0,0,/objects/audio/Sahaptian-005.mp3,umatilla
waakmuyk,wáakmuyk,buck (of a horse),Sahaptian-107,0,0,0,0,/objects/audio/Sahaptian-107.mp3,umatilla
waakmuykla,waakmuykłá,"cowboy, literally translates as ""one that bucks""",Sahaptian-104,0,0,0,0,/objects/audio/Sahaptian-104.mp3,umatilla
wacilak,wac̓ílak,to fish (with a hook and line),Sahaptian-117,0,0,0,0,/objects/audio/Sahaptian-117.mp3,umatilla
waluulapam,walúulapam,Walla Walla people,Sahaptian-022,0,1,1,1,/objects/audio/Sahaptian-022.mp3,umatilla
watlimtk,wáƛ̓ɨmtk,to chip or knap stone to make arrowheads and other tools,Sahaptian-116,0,1,0,0,/objects/audio/Sahaptian-116.mp3,umatilla
wasatawas,wasat̓áwas,saddle,Sahaptian-097,0,0,0,0,/objects/audio/Sahaptian-097.mp3,umatilla
wasatawasi,wasat̓áwasi,to saddle,Sahaptian-098,0,0,0,0,/objects/audio/Sahaptian-098.mp3,umatilla
watkwna,wátkʷna,"charge, rush, go forth, fo off to war",Sahaptian-144,0,0,1,0,/objects/audio/Sahaptian-144.mp3,umatilla
weyiiletpu,weyíiletpu,"Cayuse people (who are from the place known as Walla Walla), also spelled ""waiilatpu"" in the cayuse dialect",Sahaptian-023,0,1,1,1,/objects/audio/Sahaptian-023.mp3,umatilla
wilalik,wilalík,jackrabbit,Sahaptian-109,0,0,0,0,/objects/audio/Sahaptian-109.mp3,umatilla
wiwnu,wiwnu,huckleberry; represents all [tmaanít](#tmaanit) at the table for [káˀuyit](#kauyit),Sahaptian-095,0,1,0,1,/objects/audio/Sahaptian-095.mp3,umatilla
wiyanaykuk,wiyánayk̓uk,"gather foods, medicines, and materials **along the way**",Sahaptian-118,0,1,1,0,/objects/audio/Sahaptian-118.mp3,umatilla
wisalayti,wɨsaláyti,go hunting; also [tkʷáynp](#tkwaynp),Sahaptian-114,0,0,0,0,/objects/audio/Sahaptian-114.mp3,umatilla
wisayctpama,wɨšayčtpamá,"village, place to stay",Sahaptian-082,0,1,1,0,/objects/audio/Sahaptian-082.mp3,umatilla
xaws,x̣áwš,cous root; represents all [x̣nít](#xnit) at the table for [káˀuyit](#kauyit),Sahaptian-094,0,1,0,1,/objects/audio/Sahaptian-094.mp3,umatilla
xistu,xɨstú,freshwater clam or mussel; also [x̣ɨštú](#xistu-2) or [siwáala](#siwaala),Sahaptian-158,0,1,0,0,/objects/audio/Sahaptian-158.mp3,umatilla
xistu-2,x̣ɨštú,freshwater clam or mussel; also [xɨstú](#xistu) or [siwáala](#siwaala),Sahaptian-157,0,1,0,0,/objects/audio/Sahaptian-157.mp3,umatilla
xnit,x̣nít,"dug plant foods, plant foods gathered/harvested by digging",Sahaptian-163,0,1,0,1,/objects/audio/Sahaptian-163.mp3,umatilla
xpxip,x̣px̣ɨ́p,cottonwood tree,Sahaptian-108,0,0,1,0,/objects/audio/Sahaptian-108.mp3,umatilla
yaamas,yáamaš,deer; represents all big game at the table for [káˀuyit](#kauyit),Sahaptian-057,0,1,0,1,/objects/audio/Sahaptian-057.mp3,umatilla
yamuxlayk,yámuxlayk,"flood out, demolish by flood",Sahaptian-058,1,0,0,1,/objects/audio/Sahaptian-058.mp3,umatilla
agriculture,agriculture,"the practice of growing crops and raising livestock for food, fiber, and other products",,0,0,0,1,,english
archaeological-site,archaeological site,a place where many important artifacts that are related to each other are located,,1,0,1,1,,english
archaeological-survey,archaeological survey,"a systematic process for searching for, identifying, and documenting cultural resources within a specific area",,1,0,1,0,,english
archaeology,archaeology,the study of human history and pre-history through excavation of sites and analysis of artifacts and other physical remains,,1,0,1,1,,english
artifact,artifact,object made or modified by a human,,1,1,1,0,,english
canal,canal,a human-made waterway to transport water meant to be used for watering crops or livestock,,0,0,0,1,,english
chronological,chronological,a record of events starting with the earliest and following in the order in which they occurred,,1,1,1,1,,english
confluence,confluence,where two rivers meet as they flow towards the ocean,,0,1,0,1,,english
coordinates,coordinates,two or three numbers or letters used to describe a point’s position on a grid,,1,0,1,0,,english
erosion,erosion,"the process of wearing or washing away land or earth (rock or soil), primarily by the forces of wind or water",,1,0,0,1,,english
first-foods,first foods,"foods deeply connected to cultural identity and traditions that originated from the land, such as water, fish, roots, berries, and game. The creation story says that each of these animals and plants stood up and volunteered their bodies for the people in exchange for the people being their voice and protecting them. They are central to Indigenous peoples’ relationship with the environment and management of these foods is a way of life for many tribes",,0,1,0,1,,english
floodplain,floodplain,the flat low-lying area of land next to a river or stream that can be covered with water when a river overflows its banks,,0,0,0,1,,english
floodplain-restoration,floodplain restoration,the process of actively returning river floodplains to a more natural and functional state,,0,0,0,1,,english
fort,fort,a military building or buildings surrounded by a strong wall designed to be defended from attack and serve as a place to gather and organize military actions,,0,0,1,0,,english
grid,grid,network of lines that cross each other to form a series of squares (2D) or cubes (3D),,1,0,1,0,,english
history,history,"a study of the past through the process of investigating, analyzing, and interpreting events in relation to one another",,1,1,1,1,,english
indian-agency,Indian Agency,"a historical government headquarters for managing land, trade, and relations with specific tribes, see [tmiyutpamá níit](#tmiyutpama-niit)",,0,0,1,0,,english
indian-agent,Indian Agent,a government-appointed person in charge of an Indian Agency,,0,0,1,0,,english
land-privatization,land privatization,"the process of transferring land from public, communal, or customary control to private ownership; also connects to laws about keeping people out of private land",,0,0,0,1,,english
monoculture,monoculture,the practice of growing a single crop or single species over a large area,,0,0,0,1,,english
overland-migrants,overland migrants,"historically, people who traveled overland in wagons or on horseback driving livestock to migrate to a new place",,0,1,1,1,,english
perspective,perspective,a mental view or way of thinking about something,,0,0,1,1,,english
plat-map,plat map,"a detailed, to-scale map that shows how land has been subdivided into smaller lots",,0,0,0,1,,english
primary-source,primary source,"an original, first-hand account or document from the same time as an event",,0,1,1,0,,english
replica,replica,a precise copy of model of something,,0,1,1,0,,english
seasonal-round,seasonal round,a cyclical pattern of movement that Indigenous peoples have followed in relationship with the seasons and the availability and locations of specific plants and animals,,0,1,0,1,,english
secondary-source,secondary source,"a book, article, or other source that provides information about an object of study but does not constitute direct, first-hand evidence",,0,1,1,0,,english
tactics,tactics,strategies to achieve a goal,,0,0,1,0,,english
territory,territory,a defined region that has been claimed by a country’s government without having it be a formal part of the country; for example: The Oregon Territory,,0,1,1,0,,english
tule-plants,tule plants,hardstem bulrushes that grow in freshwater marshes across much of North America; see [tk̓ú](#tku),,0,1,0,0,,english
urbanization,urbanization,"the development of urban areas such as towns and cities with municipal government and public roads, utilities, and services (regardless of the number of people)",,0,0,0,1,,english
utilla,Utilla,"a version of the word “Umatilla,” used by the U.S. Government when defining indigenous groups of the region and establishing the local Indian agency",,0,0,1,0,,english
